quarter_start_date,t_bill_3m,t_note_10y,term_spread,real_interest_rate,dollar_index,brent_oil,wb_commodities,bdi_avg,epu_avg,vix_avg
2019/10/1,1.576935484,1.791935484,0.215,-0.471661704,116.4150623,63.26784615,116.1261083,1449.666667,228.475659,13.98578125
2020/1/1,1.081612903,1.365,0.283387097,-1.063428637,117.7573952,50.27484375,107.3732691,549.3333333,237.7706556,31.22451613
2020/4/1,0.142222222,0.687619048,0.545396825,-0.267079405,121.8422063,29.69901639,92.21955445,979.3333333,355.551473,34.49365079
2020/7/1,0.1134375,0.650625,0.5371875,-1.109548334,117.358425,42.91230769,106.6318847,1521,308.6878811,25.80890625
2020/10/1,0.092903226,0.864516129,0.771612903,-1.149280337,113.92367,44.31646154,117.2435483,1292,340.8060981,25.62171875
2021/1/1,0.051147541,1.335901639,1.284754098,-1.831008505,112.3746917,61.03873016,138.6466325,1724.333333,229.9439554,23.20245902
2021/4/1,0.02515625,1.59078125,1.565625,-4.768596737,111.8373984,68.98180328,153.7329546,3010.666667,182.7253707,18
2021/7/1,0.0496875,1.32484375,1.27515625,-5.221650582,113.3141391,73.50907692,166.5256466,4197,204.4134592,18.28734375
2021/10/1,0.054677419,1.533387097,1.478709677,-6.695858609,114.9794787,79.6090625,187.0936639,2918,229.4293122,19.27515625
2022/1/1,0.312580645,1.951129032,1.638548387,-7.710113858,115.4997726,100.8723438,211.8725943,1938.666667,235.8326427,25.37290323
2022/4/1,1.085483871,2.932580645,1.847096774,-7.502686662,118.9632206,113.8352459,228.7352326,2403.333333,269.1741827,27.3984375
2022/7/1,2.6690625,3.10109375,0.43203125,-5.620865783,123.5362438,100.708125,230.4612082,1540,263.4989877,24.79272727
2022/10/1,4.043770492,3.826721311,-0.21704918,-3.056054014,124.8214803,88.72365079,192.5989517,1444.333333,276.8216542,25.00265625
2023/1/1,4.630645161,3.646290323,-0.984354839,-1.112452727,120.3423435,81.0659375,175.1659404,1020,262.3897286,20.6840625
2023/4/1,5.076031746,3.595714286,-1.48031746,1.032193292,119.5896587,77.98783333,160.6559456,1214.666667,233.4695574,16.44125
2023/7/1,5.29031746,4.14968254,-1.140634921,1.725635326,120.2047556,86.65140625,162.5958988,1304.666667,192.6840656,15.01323077
2023/10/1,5.282903226,4.447096774,-0.835806452,2.046705439,121.8610754,84.01238095,164.195321,2163.333333,210.5905699,15.28625
2024/1/1,5.233934426,4.156393443,-1.077540984,1.986146014,121.0047161,82.91968254,160.3416443,1776.666667,199.1388623,13.71253968
2024/4/1,5.246190476,4.448730159,-0.797460317,2.058524174,122.8773794,84.68209677,168.6090456,1850,178.99373,13.98030769
2024/7/1,4.99796875,3.9546875,-1.04328125,2.337329149,122.9345906,80.00507692,163.922493,1868.666667,211.1513923,17.06666667
2024/10/1,4.400967742,4.275483871,-0.125483871,1.68165502,126.0080565,74.65609375,166.4513223,1246.333333,275.5797535,17.36323077
