COUNTRY,INDICATOR,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
Mexico,Producer price index (PPI),2.059892768,0.790311256,-0.158653479,0.789434816,1.21681919,1.789307093,0.651347573,0.851310589,0.721395439,1.830628487,1.265375538,1.383545393,2.056174259,1.239602536,0.675942745,0.378492119,0.357728293,0.478628137,0.129437709,-0.006528807,0.646829404,1.421145047,0.37866512,0.558208296,0.591863462,-0.200326738,1.393319138,0.418767769,-0.088446564,1.257963101,2.338416789,2.194766572,2.651922048,3.846007489,-0.634667038,-0.249661648,2.654811638,2.282557415,2.230211014,0.911335903,1.439303182,-0.22375053,0.894985854,-0.034425709,-0.018388991,0.500941355,2.553779094,1.109308588,-0.203767942,2.521592056,2.539863754,1.638557018,2.506838885,2.930236245,2.982013793,0.637018532,-0.697385767,0.383013278,-0.130036858,,,,,,
Russian Federation,Producer price index (PPI),-16.77314933,-7.297850563,7.298222369,4.846676271,0.186475611,1.028605016,5.885775235,1.126373626,5.804582088,7.112290312,3.766827615,-0.166404733,2.691607248,0.986919054,0.788366624,2.530647123,2.096355419,-0.401242661,-1.439087473,4.000134571,0.09704655,1.263276347,2.69761606,2.109121307,-0.091312699,5.821116924,6.707181971,1.426791647,0.137455035,-3.095843458,5.177774774,1.931233933,0.848018663,4.49689072,-1.836103595,0.945067927,4.291008387,1.671965588,4.775218895,4.480337079,3.558946095,-3.607009573,2.09234602,-2.896949711,-1.27643281,-0.255017519,-8.11132378,8.457655426,2.278704409,8.463451356,9.019589494,6.058741899,2.348450104,6.227347611,5.187344913,-8.025383046,-3.889608474,-0.1801345,7.053964095,7.283420323,5.422549145,-2.082183312,4.281107653,1.740747548,
"Korea, Republic of",Producer price index (PPI),-2.717336472,-1.593666816,0.056207405,1.123516607,-0.152767169,1.161415954,1.708373436,1.003751394,1.398648196,3.204197466,1.79696243,0.194741967,-0.181823882,1.099211708,-0.173961666,-0.911778435,-0.87934175,0.088714277,-0.585628363,0.003184206,-0.388460804,0.42513745,-0.133685584,-0.089243028,-1.502536128,-1.965928229,-0.066074201,-0.932262224,-1.518336837,-0.847113039,0.365661951,0.224726753,1.07694921,2.443533208,-0.423242232,0.253706755,0.657310941,0.6889346,0.444257085,0.981436642,-0.629815531,-0.482594428,0.533428165,0.02251021,-0.118955761,-0.009656549,-1.374581509,0.972680093,0.210117989,2.580645161,2.493710692,1.988156966,1.943383171,2.118806622,,,,,,,,,,,
Albania,Producer price index (PPI),-0.500500501,-0.100603622,-0.100704935,0.705645161,0.600600601,-1.194029851,0.100704935,0.804828974,0.898203593,0.989119683,0.587659158,-0.194741967,0.682926829,1.453488372,-0.573065903,-1.056676273,0.291262136,0.096805421,0.328947368,-0.765027322,0.440528634,0,-0.328947368,0.110011001,-1.208791209,-0.333704116,0.223214286,-1.781737194,-0.340136054,-2.275312856,2.444703143,-0.681818182,1.71624714,1.57480315,-1.218161683,0,13.11659193,0.495540139,0.197238659,0.492125984,-0.685602351,-0.197238659,0.098814229,-0.789733465,-0.199004975,-1.196410768,-2.018163471,-0.720906282,0.518672199,1.547987616,0.304878049,1.823708207,1.791044776,12.60997067,3.211805556,2.186711522,2.222222222,1.449275362,0.873015873,0.472069237,0.313234143,1.092896175,,,
"Belarus, Republic of",Producer price index (PPI),-5.023600809,-4.969826056,1.045946956,1.109057301,0.621572212,2.688953488,2.79547063,0.929432014,1.466575716,4.974789916,2.433557477,-0.625195374,-0.157282164,2.646502836,0.920810313,0.030413625,0.699300699,0.332125604,-1.594944327,-0.305810398,-0.981595092,-0.619578686,-1.059850374,-0.56710775,-2.122940431,-3.043056005,2.303839733,-2.088772846,-1.866666667,-4.076086957,2.83286119,2.61707989,4.798657718,2.945885367,-1.33748056,-0.157629256,3.631196716,0.365630713,1.032179721,2.193509615,2.381652455,-1.522113728,-0.437445319,-1.230228471,1.631079478,33.43449081,2.182470259,1.48097419,1.954953815,3.297135174,4.697731232,3.228459405,2.017675504,4.180741709,6.260023708,2.272167993,0.606352262,1.224528843,0.869483036,0.566850932,1.795003183,2.872309593,1.460557533,1.492144684,
Euro Area (EA),Producer price index (PPI),-2.564102564,-3.144224197,-1.235003529,-0.285816363,0.214976711,1.251340722,1.800847458,0.763093999,0.688468158,2.393162393,1.402337229,0.428054001,0.229508197,1.144913314,0.291073739,0.515962593,-0.128328521,-0.032123354,-0.803341902,0.03239391,-0.453367876,-0.390370852,-0.293925539,-0.032754668,-0.655307995,-0.857519789,0.698602794,-0.858936241,-1.099633456,-1.785714286,0.308747856,0.820793434,1.221166893,1.441018767,-0.297324083,-0.198807157,0.996015936,0.788954635,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armenia, Republic of",Producer price index (PPI),-10.57876818,-4.163782362,13.37354184,11.30861366,5.222940873,3.704408845,5.539090981,-0.636167093,4.911841941,3.876135307,1.927809647,-3.249444646,1.586264265,3.712451793,3.0220991,-0.326957159,4.120297986,0.412213291,-1.762308301,1.967046743,3.919674483,1.343661972,4.213803263,0.848158323,-0.510433472,1.847519804,-1.310260225,-4.1416519,-2.375500069,4.018765544,1.926316361,1.162201786,-0.624489473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Türkiye, Republic of",Producer price index (PPI),-2.01717351,-1.317651957,1.516653659,0.384407597,1.927097348,3.243166403,3.263242786,0.0552402,2.166504845,4.75518987,2.106605366,1.727200774,4.030292028,1.324624385,0.144345116,-0.627323801,2.024064612,0.470128276,1.143289006,2.634340223,2.083430147,5.512731025,0.701804846,1.161047085,0.719972895,0.641942085,3.385605259,1.390179834,0.067758779,-0.156669057,1.855053191,1.128010967,3.434074801,7.984373245,2.249294928,1.595035156,4.005652421,4.947952885,8.29272768,13.75561266,7.514522616,-1.32151131,5.978472818,-0.412879485,0.237965029,2.904096258,,,,,,,,,,,,,,,,,,,
Japan,Producer price index (PPI),-3.923900119,-3.27970297,-1.343570058,0.064850843,-0.712896954,0.326370757,0.205338809,-0.273224044,-0.034246575,0.959232614,1.051917204,0.100738751,-1.03991949,0.169491525,-0.236886633,-0.712347354,-0.102494021,0.752393981,0.678886626,0.842886042,0.200601805,0.2669336,3.06156406,0.452050371,-1.350048216,-1.596611274,0.231788079,-0.991080278,-1.334668001,-1.623266824,-0.584393262,-0.276625173,0.416088766,1.48480663,0.476352501,0.474094142,0.876306033,0.501169395,0.664893617,0.858652576,0.196463654,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Producer price index (PPI),2.700158168,-0.718712185,0.15143121,-1.78861189,-1.062671323,0.37194474,1.202450276,-1.849499327,1.770147322,5.457469889,2.94399319,-0.923405575,3.015127804,-1.03976774,-0.764140001,-2.086627707,0.463434329,-0.506727241,0.207235687,0.466192296,-1.060637778,2.232174342,1.169328412,0.017047392,1.16584285,-0.283047478,1.104991045,3.977272727,0.527161684,1.442092473,1.17572892,0.451741542,0.545854914,-0.394830192,-1.173701651,1.206442717,2.514165402,0.875894772,1.49705081,1.088527685,1.275242208,-0.158478605,2.721500722,0.564717782,0.977817511,-1.848162904,-3.655992784,4.034641154,0.905562743,5.476588629,6.394503897,4.679001614,6.310944506,11.02903435,8.052099455,1.752329929,1.742262199,0.141953569,-4.180797043,,,,,,
Morocco,Producer price index (PPI),-10.50163132,-10.82251082,-3.193663771,3.958828187,0.710840315,1.739349634,3.344895937,-0.191800527,1.849627672,9.009433962,2,0.784313725,0.7183478,1.515601783,0.117096019,-0.263157895,-0.029316916,0.08797654,-2.636976267,0.451399338,-0.329538646,-0.661256387,-1.331316188,-0.3066544,-1.414949246,-2.932917317,1.12504018,-1.335028608,-1.256443299,-0.358890701,4.158480681,0.377239862,0.156592546,0.125078174,0.031230481,0.312207306,0.217864924,0.962732919,0.892033221,1.097560976,0.33172497,0.180342651,0.030003,-0.899820036,-1.02905569,,,,,,,,,,,,,,,,,,,,
Paraguay,Producer price index (PPI),-2.585667345,-1.188611814,0.68679644,1.719405877,3.102928339,-1.339285714,1.611015759,2.572075703,7.593847075,4.007235286,0.735785953,-0.199203187,1.763140386,1.863354037,-0.738125802,0.581959263,1.092896175,-2.098569157,-0.032478077,2.306692658,2.254684027,0.869565217,-0.985221675,-1.05721393,1.728472659,-0.494284832,0.651971437,1.727328809,2.243784112,1.334519573,-0.526777875,1.294498382,2.439732791,0.311879785,-0.282645562,0.878684807,1.236302332,0.666111574,0.110283981,0.605893693,1.313988503,0.054039449,0,-0.729138536,1.686615887,0.615302301,-0.797660197,2.519431788,2.196078431,0.486057815,1.196537678,6.113207547,4.812707444,3.980999774,1.174679139,0.903031606,2.365224803,2.019150708,,,,,,,
"Iran, Islamic Republic of",Producer price index (PPI),3.406853092,-1.085507522,0.635348479,3.194949302,1.798294401,2.385722091,2.810387762,2.750865052,4.226300724,20.01615509,8.157221699,3.733665215,3.659268146,4.247685185,5.351393361,7.819580567,14.53425863,7.996245093,6.416436191,7.076557511,4.068117313,1.709090909,5.648909546,3.824027073,1.629726206,0.272610648,1.51927075,1.748582231,0.371574547,-0.44732377,1.038115897,1.99355927,2.571041949,2.97566696,1.024911032,2.97308722,3.81773399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Producer price index (PPI),-3.151733447,-1.181589638,-0.770038502,-0.035273369,1.764290755,1.699029126,0.409137402,-1.154499151,1.923737547,2.965958881,2.684124386,0.15938795,0.190961171,4.796696315,-0.666868748,-0.945987183,1.139864449,1.949436491,0.956080072,0.887836638,-1.642710472,-5.696391291,-1.043643264,-0.958772771,-0.129073895,-0.969305331,-1.76182708,-1.660577881,0.101317123,1.214574899,0.333333333,3.122923588,2.158505155,0.567644276,-0.188146754,0.848256362,0.965732087,0.030854674,1.048735349,1.800976801,1.07946027,-0.415307031,0.774501043,1.300620751,-0.846221185,-0.029429076,-1.177509567,0.446827525,0.919335706,1.057890097,1.192207037,2.729885057,3.944055944,4.009687836,8.357050453,3.677172875,2.418240442,,,,,,,,
Tunisia,Producer price index (PPI),2.071108043,-0.338180588,-0.067865626,-1.697792869,0.414507772,0.275197798,3.190394511,0.76462766,0.626855823,1.049180328,1.9467878,1.973265436,2.215980025,1.06870229,0.543806647,1.171875,-0.594000594,0.657305049,1.038883942,0.323149236,-0.439238653,-0.205882353,1.296787504,1.542042479,1.604584527,1.410039481,1.001112347,0.79845815,0.43703906,-0.21756867,0.054510766,1.089621357,0.242522231,1.344086022,1.803713528,1.459093278,1.412429379,2.000506457,2.457795432,2.423067604,1.632363378,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Producer price index (PPI),-8.123324397,-4.172745842,0.304506699,0.880388585,3.159795366,1.896149358,0.235928547,-0.369872226,4.522443469,6.393283823,3.15629742,0.029420418,-0.441176471,1.240768095,-0.379340531,-1.58172232,-4.31547619,1.306376361,-1.289530243,1.524105754,1.654411765,2.230259192,-0.737028302,-2.049302049,-3.092783505,-2.221526909,-2.112,-0.948022229,0.693069307,-2.064896755,0.267737617,0.534045394,4.249667995,4.681528662,-2.190447216,-0.155520995,0.809968847,-0.710754017,-0.311235605,0.280986575,-1.245330012,-0.977301387,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Producer price index (PPI),-1.507097876,1.233230022,8.53172904,6.215848342,3.651288909,2.474466941,4.177230683,6.591137966,2.887870628,6.957346842,1.93455149,4.229424894,2.057857027,6.757719715,3.457312023,4.555664413,1.598656169,0.458891013,1.651402853,1.369048275,9.463688122,11.80493518,6.782730671,12.92993789,1.811810264,-1.040551876,5.877109015,-0.398906802,1.006111504,7.930301159,1.233076972,0,-0.477177121,4.069143903,0.193986421,1.518635044,2.115739913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Producer price index (PPI),-2.517106549,-5.43995989,-1.458112407,-1.694915254,1.477832512,-2.807443366,3.210410944,0.131734595,0.045643711,2.463635876,0.303823992,0.470022979,-0.938247219,0.044601863,0.493024232,3.447286013,0.68363563,-0.225496091,-0.163226357,-0.352139246,-0.083297574,0.477465643,0.269026727,0.305917753,0.102494875,0.062432885,-0.06239393,-0.099892615,-0.0199985,-0.307538442,-0.122893258,0.183311152,-0.062662924,1.113591332,-0.100300903,3.112449799,0.129827978,-0.324149109,0.292682927,3.469520104,0.094014416,0.313087038,-0.280898876,1.752738654,-0.030759766,0.338461538,,,,,,,,,,,,,,,,,,,
Canada,Producer price index (PPI),-3.577081355,-2.265265923,-0.604635539,-0.540723217,0.067957866,0.882852292,0.471221811,0.033500838,2.44474213,3.007518797,2.189781022,0.465838509,-0.216383308,0.743494424,-0.030750308,-0.553675792,0.185586143,0.926211794,-0.672988682,0.369571913,-0.184105554,3.043344605,0.149164678,-0.297885016,-1.523752614,-0.091019417,0.485879138,0.876397703,-1.138406231,-0.636363636,-0.213479719,1.130806846,1.32970686,1.461377871,0.881834215,-1.981351981,1.932223543,1.487314086,2.327586207,0.224655996,-0.75651443,,,,,,,,,,,,,,,,,,,,,,,,
"Kazakhstan, Republic of",Producer price index (PPI),-27.07596746,-25.99251378,14.77100757,14.36725771,7.838407743,2.819120502,5.133397182,-1.444522527,6.717107696,11.20652322,11.69388936,-0.204211743,-0.695740709,0.503598569,3.56253438,-5.419761075,4.405983561,0.420537897,-4.76918582,2.645654153,1.13878649,4.896909755,7.089327974,1.141774749,-9.308536004,-18.41222191,0.024607453,0.697039632,8.671878636,-2.266352639,9.218669558,8.372363578,1.751853189,5.975443383,-2.166151734,1.749184182,7.811018191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Producer price index (PPI),-5.023600809,-4.969826056,1.045946956,1.109057301,0.621572212,2.688953488,2.79547063,0.929432014,1.466575716,4.974789916,2.433557477,-0.625195374,-0.157282164,2.646502836,1.759014952,0.691443388,1.759656652,1.307465205,1.582014988,1.926229508,1.206272618,2.661899086,2.476780186,0.755287009,0.262368816,-0.411214953,2.777777778,0.840029218,1.195219124,2.612741589,1.988140914,1.094391245,1.01488498,1.373074347,0.925008259,0.949263502,1.783398184,0.573431029,1.583782072,2.120361709,1.893129771,-0.689241834,2.776101388,0.469759248,0.350672122,0.495049505,-0.60851927,2.040816327,,,,,,,,,,,,,,,,,
Jordan,Producer price index (PPI),-10.31895152,-17.47002484,-3.863510023,-5.358934676,0.630750431,0.734405795,0.233539252,-1.722613279,3.638784912,7.225212711,4.961862966,1.953251562,0.945808931,0.992414475,1.517040732,-2.792805966,4.271961492,-1.889786497,-2.073224526,-2.132132132,-0.536974532,1.650470461,-0.819423369,0.32129743,-3.416196431,-6.884572872,1.928505548,-1.996215964,-3.564533729,-6.884846375,1.769801209,-0.339844468,0.331787042,3.662083958,-1.163786738,0.119542154,2.973045581,3.040844131,1.516345018,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Producer price index (PPI),-6.394435719,-0.814956855,1.788303528,3.846153846,5.555555556,5.024907949,8.579088472,1.538461538,2.89936401,5.798945646,8.463155655,2.020917334,-1.031355533,-0.931810328,5.145228216,-1.999473823,-1.691275168,-1.010376843,4.634482759,-2.794621672,0.081366965,1.300813008,12.41573034,9.262035649,4.617428615,10.79882581,12.58925216,2.036048064,-0.32711809,1.509681654,10.66925315,7.186678352,10.01635323,5.859036294,3.873157033,1.734820322,5.315026021,7.139102092,1.462217861,3.888190347,2.560283028,1.624909223,-1.339883877,1.466727026,-5.514410636,-0.557181981,0.227920228,0.919082812,7.736362783,13.38562092,8.154638383,9.430073906,19.28047276,,,,,,,,,,,,
"Gambia, The",Producer price index (PPI),,,2.326045191,1.716168163,2.906935514,2.112502752,2.418287817,4.722646757,1.0422663,2.549497468,0.412338255,5.554564621,6.279890187,0.155637043,0,-0.049535208,1.875320633,3.713738281,3.799669814,1.686132358,5.729824798,6.217742128,1.209812635,1.794637595,4.217110487,1.93919586,0.214048328,1.838989721,0.376177505,1.172809804,0.578078626,1.923616222,1.352179886,0.856345548,0.048661307,-1.493165733,-1.15772501,0.69703154,1.650497857,3.139931741,1.351990167,0.690298507,1.390813043,2.831433836,-0.053314377,-2.836059744,2.07704273,1.317676587,0.150402548,4.814487633,8.972520982,0.065664911,3.023854559,6.811519417,3.98084985,0.177852437,0.213553757,0.773785493,1.942979235,0.386429133,0.645918967,0.427849086,,,
Israel,Producer price index (PPI),-7.484076433,-5.995410212,2.014037229,2.213580616,0.409716125,0.582920431,1.767603593,-0.569476082,1.632302405,4.113834883,2.543978349,0.079176564,0.606540084,1.494102228,1.265495868,0.586585055,1.597363083,-0.232992264,-1.870692484,0.903010033,-0.662910176,-0.1001001,-0.36740147,-0.569896078,-0.775455158,-3.941556235,0.74283693,-1.860955056,-2.719141324,-1.949246046,1.162790698,0.14831294,0.703443169,1.176470588,-1.162790698,-0.183823529,1.399631676,0.944424264,1.907160849,0.670903955,-0.315678709,-1.935256861,1.291711518,-0.95642933,-0.858369099,-0.793650794,-5.709090909,1.81257231,-0.113636364,12.21084566,8.279824265,,,,,,,,,,,,,,
Jamaica,Producer price index (PPI),-7.256306447,2.149093351,6.278763971,3.804515929,3.069129917,1.965886094,0.170116246,-1.075573167,4.864091559,5.293315143,5.104949469,1.306706114,0.803115113,3.476581362,0.32664489,1.348837209,2.042221202,3.822801889,1.386181503,1.174962615,1.963682432,2.733485194,2.862326144,1.979227905,-2.363566487,-2.204290494,1.026363453,-1.752988048,-1.297648013,-2.896466721,3.236725196,2.540983607,1.57873701,0.6492229,2.404222048,1.355220462,1.958568738,0.97894348,2.103530273,3.081332856,0.938477581,-1.20523416,1.72533984,0.479698475,0.170502984,0.646808511,-1.97869102,2.191166322,0.016883336,3.798109386,5.968450154,4.711479435,4.294298696,6.014614952,7.462884411,1.615887505,-2.051468803,0.099144875,,,,,,,
Iceland,Producer price index (PPI),17.60680216,-15.658614,4.955049132,8.366533865,4.632352941,5.217849613,-0.083486392,-6.33355615,3.800178412,6.531454108,4.614391739,0.323874152,-2.290545734,3.05223411,0.824427481,-6.087219867,4.079329249,1.285824942,-7.142857143,-0.52709603,-0.016559033,-3.212984432,1.334702259,5.06585613,5.014464802,2.035506581,0.04499775,-4.977511244,-3.786683496,-1.328304362,0.083097889,-1.461308535,-3.690596562,-1.049868766,-2.528735632,2.19521045,3.053435115,0.499569337,1.045594789,2.273112807,5.821861005,,,,,,,,,,,,,,,,,,,,,,,,
